"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Snrpd1",1.59397480343146e-18,0.366789168599144,0.911,0.818,1.73838892062235e-14,"EPO_responsive","Snrpd1"
"Clasp2",1.74968581147745e-18,0.401974774907348,0.491,0.208,1.90820734599731e-14,"EPO_responsive","Clasp2"
"Hsf2",7.30571229279831e-18,0.398560792417871,0.377,0.14,7.96760982652583e-14,"EPO_responsive","Hsf2"
"Gnb1",1.1544265226828e-17,0.332388849466538,0.899,0.762,1.25901756563787e-13,"EPO_responsive","Gnb1"
"Cox7a2",1.54609681325407e-17,0.255549538013755,0.978,0.921,1.68617318453489e-13,"EPO_responsive","Cox7a2"
"Hmgb1",1.72076161511554e-17,0.283152919487988,0.994,0.984,1.87666261744501e-13,"EPO_responsive","Hmgb1"
"Srsf3",2.35065515125277e-17,0.277471195879436,0.972,0.898,2.56362450795627e-13,"EPO_responsive","Srsf3"
"Pan3",3.27849964148565e-17,0.378920234357758,0.731,0.49,3.57553170900425e-13,"EPO_responsive","Pan3"
"Paip1",4.32144245869012e-17,0.354501362684474,0.696,0.428,4.71296514544745e-13,"EPO_responsive","Paip1"
"Tacc1",1.38312328938316e-16,0.369915153901204,0.731,0.5,1.50843425940127e-12,"EPO_responsive","Tacc1"
"Cox5a",9.07042901081039e-16,0.299931015063605,0.94,0.842,9.89220987918981e-12,"EPO_responsive","Cox5a"
"Cdk6",9.88525229315039e-16,0.395234568432732,0.813,0.645,1.07808561509098e-11,"EPO_responsive","Cdk6"
