"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Traf3ip3",0.00204752822753256,0.0766183493837263,0.287,0.234,1,"Control","Traf3ip3"
"Mapkapk3",0.00206240643227417,0.0912010104718782,0.367,0.322,1,"Control","Mapkapk3"
"Stradb",0.00207452080486427,0.0654710645919153,0.157,0.118,1,"Control","Stradb"
"Rnaset2b",0.00207473715029571,0.0809952068040962,0.573,0.524,1,"Control","Rnaset2b"
"Cdkn1c",0.00210623854737766,0.0827804837272546,0.188,0.148,1,"Control","Cdkn1c"
"Cmtm6",0.00211832566991581,0.0738808984159579,0.233,0.188,1,"Control","Cmtm6"
"Ctdnep1",0.00213274179720072,0.0634016970262446,0.316,0.265,1,"Control","Ctdnep1"
"Cic",0.00213378695734576,0.0767631498855496,0.256,0.207,1,"Control","Cic"
"Wiz",0.00213910248197813,0.0581974911457422,0.123,0.085,1,"Control","Wiz"
"Usf2",0.00214438909825257,0.0653495064099383,0.452,0.395,1,"Control","Usf2"
"Snx4",0.00214862117084262,0.0801083098445825,0.228,0.189,1,"Control","Snx4"
"Psmd5",0.00217325854302528,0.0614794553272825,0.341,0.28,1,"Control","Psmd5"
"Rhog",0.0021846868111543,0.0755578586883263,0.379,0.329,1,"Control","Rhog"
"Tfr2",0.00218520157663383,0.0694569087595238,0.204,0.161,1,"Control","Tfr2"
"Abcd1",0.00221651349224506,0.0678579129741604,0.115,0.085,1,"Control","Abcd1"
"Tmem59",0.00226054528839598,0.0654516525102291,0.77,0.722,1,"Control","Tmem59"
"Yars",0.00226188733597778,0.0532344883268033,0.158,0.114,1,"Control","Yars"
"Rgp1",0.00227951807020907,0.0681559495667541,0.127,0.092,1,"Control","Rgp1"
"Csnk1a1",0.00228076395384836,0.0665202298854515,0.765,0.712,1,"Control","Csnk1a1"
"Spast",0.00230101389476622,0.0699438552300028,0.189,0.149,1,"Control","Spast"
"Vps35",0.00230446534637881,0.0666765104470781,0.426,0.365,1,"Control","Vps35"
"Grsf1",0.00230638341622672,0.0759282560962744,0.25,0.206,1,"Control","Grsf1"
"Tmx1",0.00233884101889991,0.0687249418540293,0.405,0.348,1,"Control","Tmx1"
"Keap1",0.00234069297681686,0.0670237755579068,0.375,0.316,1,"Control","Keap1"
"Nup214",0.00234966763501142,0.0637747156386924,0.172,0.134,1,"Control","Nup214"
