"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Trim24",0.00010714812199348,0.0828215768439976,0.153,0.107,1,"Control","Trim24"
"Rnf130",0.000107852365724895,0.0898762234794519,0.628,0.562,1,"Control","Rnf130"
"Tgfb1",0.00011041351812381,0.0942484308119598,0.872,0.839,1,"Control","Tgfb1"
"Srebf1",0.000111022666595937,0.0782561308698368,0.198,0.139,1,"Control","Srebf1"
"Ywhaz",0.000118085012536453,0.0764525097374251,0.807,0.753,1,"Control","Ywhaz"
"H2-T22",0.000118479989930476,0.0990775294891637,0.682,0.626,1,"Control","H2-T22"
"Zfp219",0.000118974373760941,0.0877243349212726,0.208,0.153,1,"Control","Zfp219"
"Rcbtb1",0.000119148530766573,0.093047588711598,0.28,0.215,1,"Control","Rcbtb1"
"Stat3",0.000120001682268854,0.0888948215740546,0.338,0.264,1,"Control","Stat3"
"Ndufs2",0.000120559070694929,0.0873742700276925,0.621,0.548,1,"Control","Ndufs2"
"Ash1l",0.000123022383403252,0.091121643051052,0.492,0.419,1,"Control","Ash1l"
"Alox5ap",0.000126299280586493,0.0771545185610913,0.86,0.818,1,"Control","Alox5ap"
"Klhl21",0.000127165481569556,0.104058484270351,0.352,0.288,1,"Control","Klhl21"
"Setd1b",0.000130423703621909,0.0927120579010154,0.285,0.222,1,"Control","Setd1b"
"Cd81",0.000130615478297434,0.107379826420859,0.829,0.806,1,"Control","Cd81"
"Tmem258",0.000133399791026301,0.0815251780218913,0.76,0.697,1,"Control","Tmem258"
"Dusp2",0.000133650054737185,0.117835943657848,0.4,0.332,1,"Control","Dusp2"
"Ddx39b",0.000133763384089486,0.090324255736585,0.592,0.524,1,"Control","Ddx39b"
"Samhd1",0.000134843846414545,0.107348195672207,0.269,0.212,1,"Control","Samhd1"
"Upf2",0.000135240563655166,0.116227718122834,0.368,0.312,1,"Control","Upf2"
"Flii",0.000136053982975555,0.0847036332302804,0.238,0.179,1,"Control","Flii"
"Nedd4",0.000140324315507148,0.0944932508693754,0.641,0.583,1,"Control","Nedd4"
"Hsd17b10",0.000140887608033636,0.106708335684725,0.72,0.67,1,"Control","Hsd17b10"
"Tle4",0.000144956503819882,0.0854447473527456,0.151,0.102,1,"Control","Tle4"
"Mark2",0.000146490081395022,0.090423375019492,0.282,0.223,1,"Control","Mark2"
"Arl5a",0.000150473281885997,0.0871812316149142,0.157,0.111,1,"Control","Arl5a"
